datetime,author_name,message,cleaned_message,label
2024-10-07 08:32:03,KUSUMA,assalamu'alaikum..,assalamualaikum,0
2024-10-07 08:58:42,Tata PaNda,wa'alaikumussalam,waalaikumussalam,0
2024-10-07 09:20:29,Nimas putri Paranata,udah lewat 22 menit ni,udah lewat 22 menit ni,0
2024-10-07 09:30:23,proboyuwono djogdja,16:30 wib,1630 wib,0
2024-10-07 09:34:59,Vian Noorcha Putra,Tribun Tv Mana Ini Kenapa Acaranya Belum Dimulai Ini Wayang Jogja Night Carnival,tribun tv mana ini kenapa acaranya belum dimulai ini wayang jogja night carnival,0
2024-10-07 09:37:04,Vian Noorcha Putra,Saya Nonton Apa Ini Tribun Tv Kenapa Acara Wayang Tribun Night Carnival Tak Kunjung Dimulai,saya nonton apa ini tribun tv kenapa acara wayang tribun night carnival tak kunjung dimulai,0
2024-10-07 09:47:46,Heri Agus,kapan mulainya min? pengen keburu nonton,kapan mulainya min pengen keburu nonton,0
2024-10-07 10:04:01,Deden Abd,assalamu'alaikum,assalamualaikum,0
2024-10-07 10:04:51,W,lama,lama,0
2024-10-07 10:06:28,Iann_febri,ini nanti bakal live disini taa?,ini nanti bakal live disini taa,0
2024-10-07 10:06:29,hujan badai,mash nnt jam 7an hbs isya,mash nnt jam 7an hbs isya,0
2024-10-07 10:07:04,Iann_febri,la yang reog ponorogo tuh kok tulisannya jam 16.00 ya,la yang reog ponorogo tuh kok tulisannya jam 1600 ya,0
2024-10-07 10:07:10,Iann_febri,apa sebagian udah mulai,apa sebagian udah mulai,0
2024-10-07 10:13:27,Ririn Vlog,ngko aku tak melu ngebakki dalan:beaming_face_with_smiling_eyes:,ngko aku tak melu ngebakki dalan,0
2024-10-07 10:13:57,Arfi,sampai kapan min,sampai kapan min,0
2024-10-07 10:14:28,sseaun,nak irvan pindah ajh dr sebelah..,nak irvan pindah ajh dr sebelah,0
2024-10-07 10:17:33,Tarminto Topawiro,"selamat ulang tahun ke-268, kota Yogyakarta. Rahayu, rahayu, rahayu ...",selamat ulang tahun ke268 kota yogyakarta rahayu rahayu rahayu,0
